id,latitude,longitude,type
875,44.232546,-85.395116,recarea
876,45.87754,-84.831527,recarea
877,42.48059,-83.4754913,city
878,42.10713,-83.159611,recarea
879,43.34999847,-84.0,recarea
880,42.764446,-84.505261,recarea
881,38.959178,-85.798529,recarea
882,39.439303,-85.000129,recarea
883,38.832924,-85.416089,recarea
884,42.6583661,-83.1499322,city
885,32.8406946,-83.6324022,city
886,34.014,-83.813703,recarea
887,33.0981193,-83.7133554,recarea
888,33.111252,-83.678216,recarea
889,34.162461,-84.750618,recarea
890,34.16,-84.07333,recarea
891,32.91977,-85.189789,recarea
892,43.0116784,-88.2314813,city
893,40.364086,-89.998048,recarea
894,39.8432,-90.558974,recarea
895,34.460176,-82.91,recarea
896,33.948967,-82.580387,recarea
897,39.487034,-86.917786,recarea
898,40.84667,-85.47,recarea
899,39.716778,-87.071756,recarea
900,40.713925,-85.961506,recarea
901,40.807452,-85.678713,recarea
902,34.547462,-86.951192,recarea
903,34.758009,-90.125476,recarea
904,34.163727,-89.824631,recarea
